Year,Name,Placement,Acronym
2019,,Amazon,ucsd
2019,,Bank of Canada,ucsd
2019,,Columbia University,ucsd
2019,,Freddie Mac,ucsd
2019,,Google,ucsd
2019,,Johns Hopkins University,ucsd
2019,,Michigan State University,ucsd
2019,,Nankai University,ucsd
2019,,National Oceanic and Atmospheric Administration (NOAA),ucsd
2019,,National University of Singapore,ucsd
2019,,New Zealand Treasury,ucsd
2019,,Peking University,ucsd
2019,,Santa Clara University,ucsd
2019,,U.S. Census Bureau,ucsd
2019,,University of Alberta,ucsd
2019,,University of Nottingham,ucsd
2019,,University of Pennsylvania (Wharton School),ucsd
2019,,Amazon,ucsd
2018,,Colby College,ucsd
2018,,Colorado State University,ucsd
2018,,Fudan Fanhai School of Finance,ucsd
2018,,Geisinger Health System,ucsd
2018,,Government Accountability Office,ucsd
2018,,Harvard Kennedy School,ucsd
2018,,<span>Instituto Tecnológico Autónomo de México</span>,ucsd
2018,,Inter-American Development Bank,ucsd
2018,,JP Morgan,ucsd
2018,,Peking University National School of Development,ucsd
2018,,RAND Corporation,ucsd
2019,,Amazon,ucsd
2017,,Chinese University of Hong Kong,ucsd
2017,,Colgate University,ucsd
2017,,Columbia University - School of International and Public Affairs,ucsd
2017,,Compass Lexecon,ucsd
2017,,Emory University,ucsd
2017,,Federal Trade Commission,ucsd
2017,,Fudan University,ucsd
2017,,Furman University,ucsd
2017,,Goldman Sachs,ucsd
2017,,Middlebury College ,ucsd
2017,,Monash University Business School,ucsd
2017,,"Nankai University, School of Economics",ucsd
2017,,NYU Furman Center,ucsd
2017,,Ohio State University,ucsd
2017,,Pew Research Center,ucsd
2017,,RAND Coporation,ucsd
2017,,Stockholm Institute for International Economic Studies,ucsd
2017,,University of Oregon Lundquist College of Business,ucsd
2017,,University of Queensland,ucsd
2017,,USC Dornsife College,ucsd
2017,,University of Virgina,ucsd
2017,,University of Western Ontario,ucsd
2017,,Vanguard Group,ucsd
2017,,Washington State University,ucsd
2019,,Amazon,ucsd
2016,,Federal Reserve Board of Governors,ucsd
2016,,Intensity,ucsd
2016,,Mathematica,ucsd
2016,,"Ministry of Land, Infrastructure, Transport and Tourism-Japan",ucsd
2016,,Universidad de Tarapaca,ucsd
2016,,"University of California, Davis - Department of Economics",ucsd
2016,,"University of California, Los Angeles - Anderson School of Management",ucsd
2016,,"University of California, Riverside - Department of Economics",ucsd
2016,,University of Connecticut,ucsd
2016,,University of San Diego,ucsd
2019,,Amazon,ucsd
2015,,Boston Consulting Group,ucsd
2015,,Bureau of Economic Analysis,ucsd
2015,,California Air Resource Board,ucsd
2015,,Carleton College,ucsd
2015,,Center for U.S.-Mexican Studies - UC San Diego (Post-Doc),ucsd
2015,,Charles River Associates,ucsd
2015,,Congressional Budget Office,ucsd
2015,,Federal Reserve Bank of Dallas,ucsd
2016,,Federal Reserve Board of Governors,ucsd
2015,,George Mason University,ucsd
2015,,Glassdoor,ucsd
2015,,Kansas State University,ucsd
2015,,Microsoft,ucsd
2015,,Moody's,ucsd
2019,,National University of Singapore,ucsd
2015,,RTI International,ucsd
2015,,Rand,ucsd
2015,,United States Treasury,ucsd
2015,,University of Arkansas,ucsd
2015,,University of Chicago,ucsd
2015,,University of Massachusetts Amherst,ucsd
